"Wavelength, µm","n","k"
0.0299714,0.902641,0.090808
0.0302711,0.90136,0.092924
0.0305738,0.90007,0.095088
0.0308795,0.898776,0.097307
0.0311882,0.89748,0.099571
0.0315001,0.896181,0.101885
0.0318151,0.894879,0.104244
0.0321332,0.893574,0.106656
0.0324545,0.892272,0.109126
0.032779,0.890978,0.111647
0.0331067,0.889702,0.114236
0.0334378,0.888465,0.116878
0.0337721,0.887297,0.119567
0.0341098,0.886214,0.122209
0.0344509,0.885174,0.124693
0.0347954,0.883982,0.126809
0.0351433,0.882511,0.128955
0.0354947,0.880785,0.131143
0.0358496,0.878678,0.133365
0.036208,0.876481,0.136553
0.0365701,0.874556,0.1399
0.0369358,0.872787,0.143213
0.0373051,0.871074,0.146494
0.0376781,0.869363,0.149742
0.0380548,0.86761,0.152958
0.0384354,0.865776,0.156142
0.0388197,0.863816,0.159295
0.0392078,0.861676,0.162416
0.0395999,0.859282,0.165507
0.0399958,0.856515,0.168567
0.0403958,0.853138,0.171596
0.0407997,0.84889,0.175068
0.0412076,0.844123,0.180254
0.0416197,0.83975,0.187256
0.0420358,0.83622,0.195025
0.0424561,0.833486,0.203259
0.0428807,0.831514,0.21184
0.0433094,0.830332,0.220746
0.0437425,0.830106,0.23005
0.0441799,0.831546,0.240085
0.0446216,0.835363,0.249093
0.0450678,0.840168,0.253264
0.0455184,0.842632,0.252294
0.0459736,0.840353,0.250013
0.0464333,0.834485,0.252464
0.0468975,0.828622,0.26046
0.0473665,0.824426,0.270022
0.0478401,0.821603,0.28039
0.0483185,0.820021,0.291335
0.0488016,0.819896,0.302881
0.0492896,0.821242,0.313805
0.0497824,0.823304,0.323299
0.0502802,0.825546,0.332287
0.0507829,0.828171,0.341151
0.0512907,0.831901,0.349806
0.0518036,0.834838,0.353096
0.0523216,0.833377,0.354566
0.0528447,0.829407,0.363136
0.0533731,0.827279,0.375978
0.0539068,0.827432,0.38814
0.0544458,0.82669,0.397168
0.0549902,0.824603,0.411489
0.0555401,0.827179,0.434434
0.0560954,0.836419,0.452936
0.0566563,0.847178,0.463637
0.0572228,0.856583,0.472242
0.057795,0.86484,0.479679
0.0583729,0.871787,0.486141
0.0589566,0.877083,0.492552
0.0595461,0.881709,0.501506
0.0601415,0.88723,0.511722
0.0607428,0.893026,0.52031
0.0613502,0.898025,0.529356
0.0619637,0.903174,0.540851
0.0625832,0.90997,0.553909
0.063209,0.918486,0.566062
0.063841,0.927667,0.576825
0.0644794,0.937008,0.587342
0.0651241,0.946536,0.597691
0.0657753,0.955843,0.60778
0.066433,0.966053,0.620951
0.0670973,0.979802,0.635486
0.0677682,0.995102,0.643249
0.0684458,1.008374,0.649139
0.0691302,1.02101,0.658131
0.0698214,1.034766,0.66723
0.0705196,1.049624,0.676323
0.0712247,1.065902,0.685415
0.0719369,1.084606,0.694612
0.0726562,1.10556,0.699942
0.0733827,1.12624,0.699928
0.0741164,1.145158,0.697823
