"Wavelength, µm","n"
0.4,2.56993394849838
0.4145,2.53299708093965
0.4295,2.50304167535388
0.445,2.47814898498844
0.4611,2.4569596297261898
0.4778,2.4386891642420103
0.4951,2.4227742061349
0.513,2.40879674836563
0.5316,2.3963761158072403
0.5508,2.38534217386494
0.5708,2.37539986848327
0.5914,2.36650194457161
0.6128,2.35843812120679
0.635,2.3511185893295803
0.658,2.34446496910173
0.6818,2.33840848211946
0.7065,2.3328674235223197
0.7321,2.32779545322092
0.7586,2.32315036905937
0.786,2.31889375826405
0.8145,2.31496468739593
0.8439,2.31136309719279
0.8745,2.3080281900646
0.9061,2.3049612061394598
0.9389,2.30212296908087
0.9729,2.29949770147291
1.008,2.2970766392242403
1.045,2.29479642865167
1.082,2.2927553203615902
1.122,2.29077907906047
1.162,2.28900827962105
1.204,2.28733866026278
1.248,2.2857686057313
1.293,2.28432566760543
1.34,2.2829695921747897
1.388,2.2817216309433
1.439,2.2805260246626498
1.491,2.27942587756728
1.545,2.27839262370801
1.6,2.2774386759657803
1.658,2.27652528610326
1.718,2.27566643052339
1.781,2.27484546191451
1.845,2.27408422667662
1.912,2.27335467710827
1.981,2.2726650916667097
2.053,2.27200267382885
2.127,2.2713738306395
2.204,2.27076719394159
2.284,2.27018076428259
2.366,2.2696190222393797
2.452,2.26906605947495
2.541,2.26852664064742
2.633,2.26799841760339
2.728,2.26747903690039
2.827,2.26696102943678
2.929,2.26644757053662
3.035,2.2659314881306
3.145,2.26541082201308
3.259,2.2648835078138
3.377,2.26434739894139
3.499,2.26380028380045
3.626,2.2632354631042997
3.757,2.2626550816557103
3.893,2.26205230481402
4.034,2.26142462725855
4.18,2.26076942271145
4.331,2.26008395278948
4.488,2.2593607283310497
4.65,2.2586012697868503
4.818,2.25779765177077
4.993,2.25694138488986
5.174,2.25603344174232
5.361,2.25506987860972
5.555,2.25404118184863
5.756,2.25294251420157
5.964,2.25176875262797
6.18,2.25050854136231
6.404,2.24915550519225
6.636,2.24770284479315
6.876,2.24614330915565
7.125,2.24446228070766
7.382,2.24265782732106
7.65,2.24069869384007
7.926,2.2385958597376403
8.213,2.2363146143038097
8.511,2.23384058062214
8.819,2.2311669836760197
9.138,2.22826871572725
9.468,2.2251272169692697
9.811,2.2217017053941497
10.17,2.2179344738402103
10.53,2.21396207870546
10.92,2.2094288229057497
11.31,2.2046452622891
11.72,2.19933281696673
12.14,2.1935732643187302
12.58,2.1871749061920998
13.04,2.1800621571393
13.51,2.17231778687918
14,2.16369372178738
